Driver,Lap Number,Pit Out Time,Pit In Time
VER,30.0,0 days 01:35:54.524000,
VER,47.0,0 days 01:59:57.537000,
GAS,10.0,0 days 01:08:59.009000,
GAS,30.0,0 days 01:37:18.187000,
ANT,30.0,0 days 01:36:42.556000,
ALO,13.0,0 days 01:12:58.646000,
ALO,47.0,0 days 02:01:43.760000,
LEC,11.0,0 days 01:10:14.814000,
LEC,30.0,0 days 01:36:50.216000,
STR,15.0,0 days 01:15:47.126000,
STR,47.0,0 days 02:01:50.846000,
TSU,1.0,0 days 00:56:14.667000,
TSU,30.0,0 days 01:37:02.138000,
ALB,30.0,0 days 01:36:30.731000,
ALB,48.0,0 days 02:02:42.564000,
HUL,30.0,0 days 01:36:53.403000,
LAW,11.0,0 days 01:10:20.332000,
LAW,30.0,0 days 01:37:19.906000,
OCO,2.0,0 days 00:58:02.009000,
NOR,29.0,0 days 01:34:35.600000,
NOR,47.0,0 days 02:00:26.146000,
COL,23.0,0 days 01:26:57.320000,
COL,47.0,0 days 02:01:54.127000,
HAM,30.0,0 days 01:36:43.056000,
HAM,47.0,0 days 02:00:57.562000,
BOR,13.0,0 days 01:13:06.268000,
BOR,30.0,0 days 01:37:22.968000,
BOR,47.0,0 days 02:01:56.828000,
SAI,12.0,0 days 01:11:37.527000,
SAI,30.0,0 days 01:37:03.357000,
HAD,30.0,0 days 01:36:42.036000,
HAD,47.0,0 days 02:01:07.890000,
RUS,12.0,0 days 01:11:35.824000,
RUS,30.0,0 days 01:36:56.263000,
PIA,14.0,0 days 01:14:11.624000,
PIA,31.0,0 days 01:38:32.102000,
BEA,30.0,0 days 01:36:56.622000,
BEA,32.0,0 days 01:41:04.264000,
