Abbreviation,Full Name,Status
VER,Max Verstappen,Finished
NOR,Lando Norris,Finished
PIA,Oscar Piastri,Finished
HAM,Lewis Hamilton,Finished
ALB,Alexander Albon,Finished
LEC,Charles Leclerc,Finished
RUS,George Russell,Finished
SAI,Carlos Sainz,Finished
HAD,Isack Hadjar,Finished
TSU,Yuki Tsunoda,Finished
ALO,Fernando Alonso,Finished
HUL,Nico Hulkenberg,Finished
GAS,Pierre Gasly,Finished
LAW,Liam Lawson,Finished
STR,Lance Stroll,Finished
COL,Franco Colapinto,Finished
BEA,Oliver Bearman,Finished
BOR,Gabriel Bortoleto,Finished
ANT,Kimi Antonelli,Retired
OCO,Esteban Ocon,Retired
