Driver,Lap Number,Pit Out Time,Pit In Time
VER,29.0,0 days 01:33:53.706000,
VER,78.0,0 days 02:35:46.459000,
GAS,2.0,0 days 00:58:01.973000,
ANT,70.0,0 days 02:29:00.047000,
ANT,72.0,0 days 02:31:51.023000,
ALO,17.0,0 days 01:18:54.476000,
LEC,23.0,0 days 01:26:14.501000,
LEC,50.0,0 days 02:00:16.472000,
STR,18.0,0 days 01:20:45.968000,
STR,65.0,0 days 02:22:39.958000,
TSU,2.0,0 days 00:58:00.228000,
TSU,74.0,0 days 02:34:05.123000,
ALB,33.0,0 days 01:40:04.702000,
ALB,41.0,0 days 01:50:38.922000,
HUL,13.0,0 days 01:14:04.463000,
HUL,45.0,0 days 01:56:15.957000,
LAW,32.0,0 days 01:38:46.736000,
LAW,41.0,0 days 01:50:37,
OCO,17.0,0 days 01:18:59.601000,
OCO,29.0,0 days 01:34:44.406000,
NOR,20.0,0 days 01:22:25.221000,
NOR,51.0,0 days 02:01:26.738000,
COL,14.0,0 days 01:15:25.791000,
COL,27.0,0 days 01:32:34.627000,
HAM,19.0,0 days 01:21:24.815000,
HAM,57.0,0 days 02:09:40.706000,
BOR,2.0,0 days 00:58:35.435000,
BOR,27.0,0 days 01:32:33.502000,
BOR,36.0,0 days 01:44:31.908000,
SAI,49.0,0 days 02:01:10.441000,
SAI,54.0,0 days 02:07:45.278000,
HAD,15.0,0 days 01:16:19.448000,
HAD,20.0,0 days 01:23:01.956000,
RUS,54.0,0 days 02:07:46.715000,
RUS,63.0,0 days 02:19:37.454000,
RUS,69.0,0 days 02:27:21.897000,
PIA,21.0,0 days 01:23:48.158000,
PIA,49.0,0 days 01:59:10.050000,
BEA,2.0,0 days 00:58:29.747000,
BEA,18.0,0 days 01:20:47.949000,
