Abbreviation,Full Name,Status
NOR,Lando Norris,Finished
LEC,Charles Leclerc,Finished
PIA,Oscar Piastri,Finished
VER,Max Verstappen,Finished
HAM,Lewis Hamilton,Finished
HAD,Isack Hadjar,Lapped
OCO,Esteban Ocon,Lapped
LAW,Liam Lawson,Lapped
ALB,Alexander Albon,Lapped
SAI,Carlos Sainz,Lapped
RUS,George Russell,Lapped
BEA,Oliver Bearman,Lapped
COL,Franco Colapinto,Lapped
BOR,Gabriel Bortoleto,Lapped
STR,Lance Stroll,Lapped
HUL,Nico Hulkenberg,Lapped
TSU,Yuki Tsunoda,Lapped
ANT,Kimi Antonelli,Lapped
ALO,Fernando Alonso,Retired
GAS,Pierre Gasly,Retired
