Driver,Lap Number,Pit Out Time,Pit In Time
VER,14.0,0 days 01:17:12.799000,
VER,30.0,0 days 01:38:55.114000,
VER,48.0,0 days 02:03:05.962000,
VER,56.0,0 days 02:14:07.144000,
GAS,11.0,0 days 01:13:22.762000,
GAS,32.0,0 days 01:42:29.692000,
GAS,56.0,0 days 02:16:01.418000,
ANT,22.0,0 days 01:28:24.319000,
ANT,50.0,0 days 02:06:28.379000,
ALO,16.0,0 days 01:20:31.020000,
ALO,43.0,0 days 01:57:35.784000,
ALO,55.0,0 days 02:14:15.132000,
LEC,18.0,0 days 01:22:46.677000,
LEC,41.0,0 days 01:53:54.134000,
LEC,56.0,0 days 02:14:30.183000,
TSU,1.0,0 days 00:59:23.884000,
TSU,9.0,0 days 01:10:50.536000,
TSU,25.0,0 days 01:33:01.328000,
TSU,45.0,0 days 02:00:28.123000,
TSU,55.0,0 days 02:14:22.796000,
ALB,7.0,0 days 01:08:09.328000,
ALB,27.0,0 days 01:36:09.501000,0 days 01:37:34.115000
HUL,10.0,0 days 01:12:02.768000,
HUL,46.0,0 days 02:01:25.408000,
HUL,57.0,0 days 02:17:23.773000,
LAW,19.0,0 days 01:24:30.391000,
LAW,45.0,0 days 02:00:12.093000,
OCO,21.0,0 days 01:27:28.106000,
OCO,44.0,0 days 01:59:07.689000,
NOR,22.0,0 days 01:28:00.659000,
NOR,49.0,0 days 02:04:22.068000,
NOR,56.0,0 days 02:14:04.496000,
COL,15.0,0 days 01:19:08.655000,
COL,40.0,0 days 01:54:01.758000,
COL,55.0,0 days 02:14:56.549000,
HAM,17.0,0 days 01:21:27.233000,
HAM,47.0,0 days 02:02:11.696000,
HAM,56.0,0 days 02:14:46.743000,
BOR,20.0,0 days 01:26:01.241000,
BOR,50.0,0 days 02:07:14.195000,
SAI,10.0,0 days 01:12:20.322000,
SAI,35.0,0 days 01:46:48.676000,
SAI,56.0,0 days 02:16:29.122000,
HAD,20.0,0 days 01:25:44.646000,
HAD,49.0,0 days 02:05:16.320000,
HAD,56.0,0 days 02:15:31.549000,
RUS,21.0,0 days 01:26:56.869000,
RUS,42.0,0 days 01:55:25.626000,
RUS,56.0,0 days 02:14:35.093000,
PIA,23.0,0 days 01:29:15.719000,
PIA,50.0,0 days 02:05:35.140000,
PIA,56.0,0 days 02:13:58.183000,
BEA,9.0,0 days 01:10:45.556000,
BEA,36.0,0 days 01:48:03.106000,
BEA,55.0,0 days 02:14:19.356000,
