Abbreviation,Full Name,Status
PIA,Oscar Piastri,Finished
NOR,Lando Norris,Finished
LEC,Charles Leclerc,Finished
RUS,George Russell,Finished
HUL,Nico Hulkenberg,Finished
HAM,Lewis Hamilton,Finished
HAD,Isack Hadjar,Finished
GAS,Pierre Gasly,Finished
ALO,Fernando Alonso,Finished
VER,Max Verstappen,Finished
LAW,Liam Lawson,Finished
BOR,Gabriel Bortoleto,Finished
TSU,Yuki Tsunoda,Finished
SAI,Carlos Sainz,Finished
COL,Franco Colapinto,Finished
OCO,Esteban Ocon,Finished
BEA,Oliver Bearman,Finished
ANT,Kimi Antonelli,Retired
ALB,Alexander Albon,Retired
